customer_id,latitude,longitude,volume,hub_id,distance_km,weighted_distance
C00001,12.8984117,77.6753647,5,4,1.7756936536850951,8.878468268425475
C00002,12.8853599,77.6417564,3,4,2.1751420344897143,6.525426103469143
C00003,13.0092018,77.5835956,5,5,2.910959456693551,14.554797283467755
C00004,12.908844,77.5410977,10,8,4.8309464365129084,48.30946436512909
C00005,13.0000077,77.552163,3,5,0.7072027021904872,2.1216081065714616
C00006,12.9074619,77.5950566,3,8,1.6720103649981302,5.016031094994391
C00007,13.100742,77.4861734,10,2,11.200305803722845,112.00305803722844
C00008,12.9775705,77.5312574,6,5,3.840873548781961,23.045241292691767
C00009,12.9998962,77.5693762,2,5,1.1639700493660503,2.3279400987321006
C00010,13.155488,77.52295,5,2,10.942390002262366,54.71195001131183
C00011,12.8559982,77.5703537,2,8,7.082031369190667,14.164062738381334
C00012,13.0028459,77.620199,2,1,2.67857485237871,5.35714970475742
C00013,13.0027344,77.6283176,4,1,2.4998764954953803,9.999505981981521
C00014,12.9566622,77.5333202,1,3,5.1764191226299925,5.1764191226299925
C00015,12.9401016,77.5643797,1,8,3.2422457644439144,3.2422457644439144
C00016,12.9993193,77.6157833,2,1,2.5471551993999806,5.094310398799961
C00017,13.0577588,77.595066,2,2,2.522904335856421,5.045808671712842
C00018,13.0126344,77.761099,4,7,6.680871641331613,26.723486565326454
C00019,12.9862525,77.615515,2,1,1.5894903918281236,3.178980783656247
C00020,12.9451318,77.5965522,1,8,3.230070820032982,3.230070820032982
C00021,12.9368483,77.7496436,9,7,4.146347422104503,37.31712679894053
C00022,12.9914643,77.5712116,3,5,1.6285563088349524,4.885668926504858
C00023,13.1011193,77.6349963,3,2,5.746407528261198,17.239222584783594
C00024,12.9496216,77.6997317,1,7,3.1032627411043627,3.1032627411043627
C00025,12.9683009,77.5377378,2,5,4.13546714200233,8.27093428400466
C00026,12.9721073,77.4604407,4,3,5.710576250062936,22.842305000251745
C00027,12.9780533,77.6330968,1,1,0.524060276452412,0.524060276452412
C00028,12.9526492,77.5773228,4,8,3.864365674270871,15.457462697083484
C00029,13.0207823,77.636101,2,1,4.567096676474436,9.134193352948872
C00030,12.9995426,77.6107599,3,1,2.90319266311778,8.70957798935334
C00031,12.9458038,77.5884207,2,8,3.0571693794481254,6.114338758896251
C00032,12.9658588,77.5924927,12,1,4.244549509615516,50.93459411538619
C00033,12.9779357,77.6332748,3,1,0.5471640060188651,1.6414920180565953
C00034,12.9168805,77.5800258,2,8,0.5157765897313603,1.0315531794627206
C00035,12.960753,77.575626,6,5,4.670107333601828,28.020644001610968
C00036,12.8440173,77.7758454,1,4,13.811357728236585,13.811357728236585
C00037,13.0436723,77.5674972,4,2,4.461308515783793,17.845234063135173
C00038,12.9585492,77.5620042,1,5,4.550022057124296,4.550022057124296
C00039,12.9133572,77.5859308,1,8,0.5853906641228303,0.5853906641228303
C00040,13.0460325,77.6019944,4,2,4.0091587948523495,16.036635179409398
C00041,12.9703096,77.5761097,6,5,3.7477097021156696,22.48625821269402
C00042,12.9866784,77.7446635,4,7,3.327845658681173,13.311382634724692
C00043,12.9189105,77.6493579,3,4,2.9269707056723777,8.780912117017133
C00044,13.0636337,77.5888045,3,2,1.7275359747967205,5.182607924390162
C00045,12.9039299,77.5094821,1,3,3.5467105650650748,3.5467105650650748
C00046,12.9982515,77.5489122,2,5,1.0673555461812625,2.134711092362525
C00047,12.9467794,77.67533,2,7,5.631163765286038,11.262327530572076
C00048,12.9845494,77.5118053,7,5,5.34913217475261,37.443925223268266
C00049,12.901075,77.6509734,4,4,1.185321225071049,4.741284900284196
C00050,13.1326124,77.4035472,1,2,20.766750784522635,20.766750784522635
C00051,12.9877647,77.5558484,4,5,1.3368903589827128,5.347561435930851
C00052,12.9585512,77.5253725,3,3,4.604087962506369,13.812263887519105
C00053,12.8994971,77.5613308,2,8,3.2758482778550806,6.551696555710161
C00054,13.0409904,77.5636179,5,5,4.621495322580308,23.10747661290154
C00055,12.9381919,77.556125,7,8,3.7765571142163266,26.435899799514285
C00056,12.9598498,77.7173096,6,7,0.8866617898412454,5.319970739047473
C00057,12.9077814,77.4765263,2,3,3.1910054835262707,6.382010967052541
C00058,12.9964417,77.695743,3,7,4.673182077675724,14.019546233027173
C00059,12.9704514,77.6530301,4,1,2.844233192961891,11.376932771847564
C00060,13.0115445,77.5548961,7,5,1.3919148421677983,9.743403895174588
C00061,12.9492318,77.5829608,2,8,3.4108609868449906,6.821721973689981
C00062,12.9264043,77.4942917,3,3,0.5931975611260345,1.7795926833781035
C00063,13.1024731,77.6284623,2,2,5.185861673367244,10.371723346734488
C00064,12.835602,77.6906797,1,4,7.338219436096672,7.338219436096672
C00065,12.9419235,77.5712377,6,8,2.9700087269787496,17.8200523618725
C00066,12.9825032,77.6016498,9,1,2.955720273513856,26.601482461624702
C00067,12.8788511,77.6370793,3,4,2.985781426474103,8.957344279422308
C00068,13.0563555,77.6022113,7,2,3.0133076402751393,21.093153481925974
C00069,12.9657866,77.6417312,4,1,2.123580556372846,8.494322225491384
C00070,12.883542,77.5662616,2,8,4.342346453947347,8.684692907894695
C00071,13.0639031,77.5883845,4,2,1.6933107212057101,6.7732428848228405
C00072,12.8764914,77.5746366,10,8,4.766863132040971,47.66863132040971
C00073,13.0243374,77.5862759,3,5,4.06564312228791,12.196929366863731
C00074,13.00032,77.6160306,10,1,2.625883450232451,26.258834502324508
C00075,12.9842579,77.6793484,1,7,5.309693818646876,5.309693818646876
C00076,12.9398518,77.6257018,6,1,4.473969802777583,26.8438188166655
C00077,12.9588435,77.6597215,4,1,4.105624391938273,16.42249756775309
